key,en,blank
global_indicators:1-3-1-title,Severe weather events,
global_indicators:1-3-2-title,Flooding occurence,
global_indicators:2-1-1-title,Estimated territorial greenhouse gas emissions by gas,
global_indicators:2-1-2-title,UK annual emissions of some pollutants / Concentrations in the atmosphere (TBC),
global_indicators:3-1-1-title,Total GHG emissions by sector,
global_indicators:3-2-1-title,Raw material consumption,
global_indicators:3-3-1-title,Land cover and degraded land area,
global_indicators:3-3-2-title,Soil and peatland health,
global_indicators:3-3-3-title,Extent of protected area (TBC),
global_indicators:3-4-1-title,Population (historic),
global_indicators:3-4-2-title,Population (projections),
global_indicators:3-5-1-title,Energy supply by source (TBC),
global_indicators:3-5-2-title,Energy intensity (TBC),
global_indicators:3-5-3-title,Energy and pollution consumption (TBC),
global_indicators:4-1-1-title,Drought,
global_indicators:4-1-2-title,Heat waves,
global_indicators:4-1-3-title,Storms and gales,
global_indicators:4-1-4-title,Low temperatures and heavy snow,
global_indicators:4-1-5-title,Flooding or Coastal erosion,
global_indicators:4-2-1-title,"Concentrations of GHG and pollutants in the atmosphere, annual means",
global_indicators:4-2-2-title,Rural background concentrations of ozone,
global_indicators:4-2-3-title,Roadside nitrogen dioxide concentrations,
global_indicators:4-2-4-title,Clean air indicators,
global_indicators:4-3-1-title,Water,
global_indicators:4-3-2-title,Seas and Estuaries,
global_indicators:4-3-3-title,Wildlife,
global_indicators:4-4-1-title,Abatement of the number of invasive non-native species entering and establishing against a baseline,
global_indicators:4-4-2-title,Distribution of invasive non-native species and plant pests and diseases,
global_indicators:5-1-1-title,Footprints,
global_indicators:5-1-2-title,Sustainable household expenditure,
global_indicators:5-1-3-title,Circular economy,
global_indicators:5-2-1-title,Green jobs,
global_indicators:5-2-2-title,Business,
global_indicators:5-2-3-title,Government,
global_indicators:5-3-1-title,Population projection,
global_indicators:5-3-2-title,Variables that transform the projections,
global_indicators:5-4-1-title,Climate change mitigation expenditure,
global_indicators:5-4-2-title,Green R&D,
global_indicators:5-4-3-title,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,
global_indicators:5-4-4-title,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,
global_indicators:5-4-5-title,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions",
global_indicators:5-4-6-title,Proportion of national exclusive economic zones managed using ecosystem-based approaches,
global_indicators:5-4-7-title,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",
global_indicators:5-4-8-title,Progress towards sustainable forest management,
global_indicators:5-5-1-title,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,
global_indicators:5-5-2-title,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels,
global_indicators:5-5-3-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,
global_indicators:6-1-1-title,Water security,
global_indicators:6-1-2-title,Terrestrial habitats,
global_indicators:6-1-3-title,Freshwater habitats,
global_indicators:6-1-4-title,Marine and coastal habitats,
global_indicators:6-1-5-title,Soil health and carbon sequestration,
global_indicators:6-2-1-title,Food security (crops and livestock),
global_indicators:6-2-2-title,Commercial forestry,
global_indicators:6-2-3-title,Commercial fisheries and aquaculture,
global_indicators:6-2-4-title,Farmed countryside,
global_indicators:6-3-1-title,"Pathogens, air quality and UV radiation",
global_indicators:6-3-2-title,Development in areas at risk of river and coastal flooding,
global_indicators:6-3-3-title,Surface water flood alleviation,
global_indicators:6-3-4-title,Development and surface water flood risk,
global_indicators:6-3-5-title,Property-level flood resilience,
global_indicators:6-3-6-title,Capacity of people and communities to recover from flooding,
global_indicators:6-3-7-title,Coastal change risk management,
global_indicators:6-3-8-title,Water demand in the built environment,
global_indicators:6-3-9-title,Health impacts from heat and cold,
global_indicators:6-4-1-title,Transport network,
global_indicators:6-4-2-title,Public services,
